roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation,contrast
L_IFG_triangularis,AVH-_vs_AVH+,-0.12639921270421076,-0.6001182395409342,0.5936962167399652,negligible,words_vs_sentences
L_IFG_opercularis,HC_vs_AVH-,-0.5664244727171813,-1.137360635594036,-0.032367947516320474,medium,words_vs_sentences
L_IFG_opercularis,HC_vs_AVH+,-0.28158551238289226,-0.7611613495538788,0.29728274637019736,small,words_vs_sentences
L_IFG_opercularis,AVH-_vs_AVH+,0.15393873197397182,-0.3245458660190691,0.983982361016385,negligible,words_vs_sentences
L_STS,HC_vs_AVH-,-0.49108863549323295,-1.0768552559584326,0.06457050162601398,small,words_vs_sentences
L_STS,HC_vs_AVH+,0.1838819040219681,-0.3233362676129015,0.771752326729636,negligible,words_vs_sentences
L_STS,AVH-_vs_AVH+,0.8577899165199337,0.3600620588725017,1.4004528398076561,large,words_vs_sentences
R_STG_posterior,HC_vs_AVH-,-0.11697548577500595,-0.6966851617599171,0.5076566051478997,negligible,words_vs_sentences
R_STG_posterior,HC_vs_AVH+,-0.09399105124301761,-0.6475380901740136,0.48876301004475214,negligible,words_vs_sentences
R_STG_posterior,AVH-_vs_AVH+,0.01842972516659401,-0.5831143438368375,0.5822678792228952,negligible,words_vs_sentences
R_STG_anterior,HC_vs_AVH-,-0.5640098672125142,-1.1539736540320933,-0.03513671711434495,medium,words_vs_sentences
R_STG_anterior,HC_vs_AVH+,-0.199219099749027,-0.7673165520210812,0.39506187184704566,negligible,words_vs_sentences
R_STG_anterior,AVH-_vs_AVH+,0.40102235628906346,-0.16918993132182422,0.9524792627107719,small,words_vs_sentences
R_MTG,HC_vs_AVH-,-0.24733677972221124,-0.8210461871939413,0.33125189680313094,small,words_vs_sentences
R_MTG,HC_vs_AVH+,0.21689143597924931,-0.35723519272529297,0.7736367220322593,small,words_vs_sentences
R_MTG,AVH-_vs_AVH+,0.48172903766050396,-0.040371614533954284,1.0489241745357234,small,words_vs_sentences
R_IFG,HC_vs_AVH-,-0.186231849167461,-0.7120554254938433,0.40430594289551963,negligible,words_vs_sentences
R_IFG,HC_vs_AVH+,0.22140711985095154,-0.34793932905110175,0.8310340469304284,small,words_vs_sentences
R_IFG,AVH-_vs_AVH+,0.441092074695966,-0.16612684677643635,1.0036291351348616,small,words_vs_sentences
L_Heschl,HC_vs_AVH-,-0.1721229001840631,-0.7730299547694331,0.4192621831183159,negligible,words_vs_sentences
L_Heschl,HC_vs_AVH+,-0.42906653955273333,-0.9592953721337908,0.15265161928130566,small,words_vs_sentences
L_Heschl,AVH-_vs_AVH+,-0.26145710927785526,-0.8584968250725765,0.3054380212137949,small,words_vs_sentences
R_Heschl,HC_vs_AVH-,0.05157270446742429,-0.5236042124733736,0.651538482274573,negligible,words_vs_sentences
R_Heschl,HC_vs_AVH+,0.0355570916054622,-0.5355500202418012,0.6377315038196691,negligible,words_vs_sentences
R_Heschl,AVH-_vs_AVH+,-0.017029831862386793,-0.592414800831874,0.605157021885928,negligible,words_vs_sentences
